"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"09/01","火","2","8","0","0","10","12","83.33%","20,290","92,947","5,079","118,316","133,833","97.25%","11,832","10"
"09/02","水","1","6","0","0","7","12","58.33%","18,588","76,437","3,800","98,825","133,833","81.23%","14,118","7"
"09/03","木","1","5","0","0","6","12","50%","24,991","42,790","0","67,781","133,833","55.71%","11,297","6"
"09/04","金","1","9","0","0","10","12","83.33%","8,838","102,579","4,400","115,817","133,833","95.19%","11,582","10"
"09/05","土","1","16","0","0","17","12","141.67%","33,656","140,031","16,163","189,850","133,833","156.05%","11,168","16"
"09/06","日","1","18","0","0","19","12","158.33%","69,612","115,076","10,918","195,606","133,833","160.77%","10,295","19"
"09/07","月","2","6","0","0","8","12","66.67%","12,206","72,242","4,477","88,925","133,833","73.09%","11,116","6"
"09/08","火","3","8","0","0","11","12","91.67%","16,580","79,985","7,151","103,716","133,833","85.25%","9,429","11"
"09/09","水","1","5","0","0","6","12","50%","1,970","57,788","22,222","81,980","133,833","67.38%","13,663","5"
"09/10","木","0","0","0","0","0","12","0%","0","0","0","0","133,833","0%","0","7"
"09/11","金","0","0","0","0","0","12","0%","0","0","0","0","133,833","0%","0","6"
"09/12","土","0","0","0","0","0","12","0%","0","0","0","0","133,833","0%","0","17"
"09/13","日","0","0","0","0","0","12","0%","0","0","0","0","133,833","0%","0","9"
"09/14","月","0","0","0","0","0","12","0%","0","0","0","0","133,833","0%","0","7"
"09/15","火","0","0","0","0","0","12","0%","0","0","0","0","133,833","0%","0","3"
"09/16","水","0","0","0","0","0","12","0%","0","0","0","0","133,833","0%","0","7"
"09/17","木","0","0","0","0","0","12","0%","0","0","0","0","133,833","0%","0","4"
"09/18","金","0","0","0","0","0","12","0%","0","0","0","0","133,833","0%","0","4"
"09/19","土","0","0","0","0","0","12","0%","0","0","0","0","133,833","0%","0","9"
"09/20","日","0","0","0","0","0","12","0%","0","0","0","0","133,833","0%","0","3"
"09/21","月","0","0","0","0","0","12","0%","0","0","0","0","133,834","0%","0","2"
"09/22","火","0","0","0","0","0","12","0%","0","0","0","0","133,834","0%","0","3"
"09/23","水","0","0","0","0","0","12","0%","0","0","0","0","133,834","0%","0","1"
"09/24","木","0","0","0","0","0","12","0%","0","0","0","0","133,834","0%","0","4"
"09/25","金","0","0","0","0","0","12","0%","0","0","0","0","133,834","0%","0","8"
"09/26","土","0","0","0","0","0","13","0%","0","0","0","0","133,834","0%","0","6"
"09/27","日","0","0","0","0","0","13","0%","0","0","0","0","133,834","0%","0","3"
"09/28","月","0","0","0","0","0","13","0%","0","0","0","0","133,834","0%","0","1"
"09/29","火","0","0","0","0","0","13","0%","0","0","0","0","133,834","0%","0","4"
"09/30","水","0","0","0","0","0","13","0%","0","0","0","0","133,834","0%","0","3"
"TOTAL","","13","81","0","0","94","365","25.75%","206,731","779,875","74,210","1,060,816","4,015,000","26.42%","11,285","201"
