"日付","曜日","新規","リピート","紹介","指名","客数","客数 目標","客数 達成率","グランドメニュー売上","クーポン売上","その他売上","合計売上","売上 目標","売上 達成率","客単価","次月予約数"
"05/01","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/02","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/03","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/04","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/05","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/06","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/07","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/08","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/09","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/10","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/11","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/12","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/13","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/14","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/15","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/16","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/17","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/18","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/19","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/20","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/21","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/22","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/23","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/24","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/25","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/26","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/27","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/28","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/29","金","8","0","0","3","8","0","0%","37520","0","4141","41661","0","0%","5207","0"
"05/30","土","6","0","0","2","6","0","0%","29425","0","1265","30690","0","0%","5115","0"
"05/31","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"TOTAL","","14","0","0","5","14","0","0%","66945","0","5406","72351","0","0%","5167","0"
