"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"05/01","ã‡","10","8","0","0","18","20","90%","39,000","0","68,762","107,762","167,741","70.67%","5,987","19"
"05/02","ìy","6","22","0","0","28","21","133.33%","56,000","0","149,524","205,524","167,741","134.78%","7,340","30"
"05/03","ì˙","7","16","0","0","23","21","109.52%","84,000","0","94,500","178,500","167,742","117.05%","7,761","23"
"05/04","åé","9","17","0","2","28","21","133.33%","87,000","0","141,329","228,329","167,742","149.73%","8,155","25"
"05/05","âŒ","8","7","0","0","15","21","71.43%","0","0","105,462","105,462","167,742","69.16%","7,031","15"
"05/06","êÖ","8","13","0","0","21","21","100%","46,591","0","111,371","157,962","167,742","103.59%","7,522","22"
"05/07","ñÿ","13","16","0","0","29","21","138.1%","106,045","0","128,234","234,279","167,742","153.63%","8,079","29"
"05/08","ã‡","5","11","0","1","17","21","80.95%","47,000","0","102,936","149,936","167,742","98.32%","8,820","16"
"05/09","ìy","8","18","0","0","26","21","123.81%","84,091","0","155,853","239,944","167,742","157.35%","9,229","27"
"05/10","ì˙","3","9","0","0","12","21","57.14%","1,500","0","74,300","75,800","167,742","49.71%","6,317","13"
"05/11","åé","16","15","0","0","31","21","147.62%","76,179","0","188,154","264,333","167,742","173.34%","8,527","31"
"05/12","âŒ","6","24","0","0","30","21","142.86%","71,500","0","142,625","214,125","167,742","140.42%","7,138","30"
"05/13","êÖ","7","5","0","2","14","21","66.67%","1,500","0","80,696","82,196","167,742","53.9%","5,871","13"
"05/14","ñÿ","9","15","0","0","24","21","114.29%","80,500","0","138,671","219,171","167,742","143.73%","9,132","26"
"05/15","ã‡","9","19","0","1","29","21","138.1%","76,500","0","136,288","212,788","167,742","139.54%","7,338","30"
"05/16","ìy","5","16","0","0","21","21","100%","79,000","0","107,045","186,045","167,742","122%","8,859","24"
"05/17","ì˙","6","20","0","0","26","21","123.81%","86,000","0","127,762","213,762","167,742","140.18%","8,222","26"
"05/18","åé","7","17","0","0","24","21","114.29%","2,000","0","169,971","171,971","167,742","112.77%","7,165","25"
"05/19","âŒ","5","12","0","0","17","21","80.95%","82,772","0","51,700","134,472","167,742","88.18%","7,910","17"
"05/20","êÖ","10","25","0","0","35","21","166.67%","77,590","0","179,744","257,334","167,742","168.75%","7,352","36"
"05/21","ñÿ","7","12","0","0","19","21","90.48%","63,500","0","98,852","162,352","167,742","106.47%","8,545","20"
"05/22","ã‡","5","16","0","0","21","21","100%","1,500","0","164,181","165,681","167,742","108.65%","7,890","22"
"05/23","ìy","10","23","0","0","33","21","157.14%","74,500","0","138,689","213,189","167,742","139.8%","6,460","33"
"05/24","ì˙","1","19","0","1","21","21","100%","81,000","0","71,536","152,536","167,742","100.03%","7,264","20"
"05/25","åé","0","0","0","0","0","21","0%","0","0","0","0","167,742","0%","0","14"
"05/26","âŒ","0","0","0","0","0","21","0%","0","0","0","0","167,742","0%","0","17"
"05/27","êÖ","0","0","0","0","0","21","0%","0","0","0","0","167,742","0%","0","22"
"05/28","ñÿ","0","0","0","0","0","21","0%","0","0","0","0","167,742","0%","0","21"
"05/29","ã‡","0","0","0","0","0","21","0%","0","0","0","0","167,742","0%","0","9"
"05/30","ìy","0","0","0","0","0","21","0%","0","0","0","0","167,742","0%","0","10"
"05/31","ì˙","0","0","0","0","0","21","0%","0","0","0","0","167,742","0%","0","2"
"TOTAL","","180","375","0","7","562","650","86.46%","1,405,268","0","2,928,185","4,333,453","5,200,000","83.34%","7,711","667"
